Expression	Value	Location	Type	
[217]	'H' (0x48)	0x20000101	char	
[218]	'?' (0x3F)	0x20000102	char	
[219]	'=' (0x3D)	0x20000103	char	
[220]	'?' (0x3F)	0x20000104	char	
[221]	'B' (0x42)	0x20000105	char	
[222]	'E' (0x45)	0x20000106	char	
[223]	'K' (0x4B)	0x20000107	char	
[224]	'W' (0x57)	0x20000108	char	
[225]	'h' (0x68)	0x20000109	char	
[226]	'}' (0x7D)	0x2000010A	char	
[227]	'”' (0x94)	0x2000010B	char	
[228]	'¤' (0xA4)	0x2000010C	char	
[229]	'¦' (0xA6)	0x2000010D	char	
[230]	'›' (0x9B)	0x2000010E	char	
[231]	'Љ' (0x8A)	0x2000010F	char	
[232]	'u' (0x75)	0x20000110	char	
[233]	'`' (0x60)	0x20000111	char	
[234]	'N' (0x4E)	0x20000112	char	
[235]	'B' (0x42)	0x20000113	char	
[236]	'=' (0x3D)	0x20000114	char	
[237]	'=' (0x3D)	0x20000115	char	
[238]	'?' (0x3F)	0x20000116	char	
[239]	'B' (0x42)	0x20000117	char	
[240]	'G' (0x47)	0x20000118	char	
[241]	'P' (0x50)	0x20000119	char	
[242]	'^' (0x5E)	0x2000011A	char	
[243]	'q' (0x71)	0x2000011B	char	
[244]	'‡' (0x87)	0x2000011C	char	
[245]	'›' (0x9B)	0x2000011D	char	
[246]	'¤' (0xA4)	0x2000011E	char	
[247]	'џ' (0x9F)	0x2000011F	char	
[248]	'‘' (0x91)	0x20000120	char	
[249]	'~' (0x7E)	0x20000121	char	
[250]	'i' (0x69)	0x20000122	char	
[251]	'V' (0x56)	0x20000123	char	
[252]	'G' (0x47)	0x20000124	char	
[253]	'>' (0x3E)	0x20000125	char	
[254]	'<' (0x3C)	0x20000126	char	
[255]	'=' (0x3D)	0x20000127	char	
[256]	'?' (0x3F)	0x20000128	char	
[257]	'C' (0x43)	0x20000129	char	
[258]	'J' (0x4A)	0x2000012A	char	
[259]	'V' (0x56)	0x2000012B	char	
[260]	'f' (0x66)	0x2000012C	char	
[261]	'{' (0x7B)	0x2000012D	char	
[262]	'ђ' (0x90)	0x2000012E	char	
[263]	'ћ' (0x9E)	0x2000012F	char	
[264]	' ' (0xA0)	0x20000130	char	
[265]	'—' (0x97)	0x20000131	char	
[266]	'†' (0x86)	0x20000132	char	
[267]	'r' (0x72)	0x20000133	char	
[268]	'^' (0x5E)	0x20000134	char	
[269]	'M' (0x4D)	0x20000135	char	
[270]	'A' (0x41)	0x20000136	char	
[271]	'<' (0x3C)	0x20000137	char	
[272]	';' (0x3B)	0x20000138	char	
[273]	'=' (0x3D)	0x20000139	char	
[274]	'@' (0x40)	0x2000013A	char	
[275]	'E' (0x45)	0x2000013B	char	
[276]	'O' (0x4F)	0x2000013C	char	
[277]	']' (0x5D)	0x2000013D	char	
[278]	'o' (0x6F)	0x2000013E	char	
[279]	'„' (0x84)	0x2000013F	char	
[280]	'–' (0x96)	0x20000140	char	
[281]	'ћ' (0x9E)	0x20000141	char	
[282]	'љ' (0x9A)	0x20000142	char	
[283]	'Ќ' (0x8D)	0x20000143	char	
[284]	'{' (0x7B)	0x20000144	char	
[285]	'g' (0x67)	0x20000145	char	
[286]	'T' (0x54)	0x20000146	char	
[287]	'F' (0x46)	0x20000147	char	
[288]	'=' (0x3D)	0x20000148	char	
[289]	':' (0x3A)	0x20000149	char	
[290]	';' (0x3B)	0x2000014A	char	
